Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,21,~,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
SW1,MX_PCB_1.00u,1,I,
SW10,MX_PCB_1.00u,1,H,
SW11,MX_PCB_1.00u,1,;,
SW12,MX_PCB_1.00u,1,Alt,
SW13,MX_PCB_1.00u,1,",",
SW14,MX_PCB_1.00u,1,M,
SW15,MX_PCB_1.00u,1,.,
SW16,MX_PCB_1.00u,1,N,
SW17,MX_PCB_1.00u,1,/,
SW18,MX_PCB_1.00u,1,Func,
SW19,MX_PCB_1.00u,1,shift,
SW2,MX_PCB_1.00u,1,U,
SW20,MX_PCB_1.50u,1,bksp,
SW21,MX_PCB_1.00u,1,Space,
SW22,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
SW3,MX_PCB_1.00u,1,O,
SW4,MX_PCB_1.00u,1,Y,
SW5,MX_PCB_1.00u,1,P,
SW6,MX_PCB_1.00u,1,Del,
SW7,MX_PCB_1.00u,1,K,
SW8,MX_PCB_1.00u,1,J,
SW9,MX_PCB_1.00u,1,L,
U1,Nice_Nano_V2,1,Nice_Nano_V2,
