Designator,Mid X,Mid Y,Rotation,Layer
D1,126.24,-70.025,90.0,bottom
D10,183.64,-89.335,90.0,bottom
D11,202.74,-91.535,90.0,bottom
D12,221.74,-91.405,90.0,bottom
D13,126.44,-108.525,90.0,bottom
D14,145.44,-106.925,90.0,bottom
D15,164.64,-106.525,90.0,bottom
D16,183.44,-108.335,90.0,bottom
D17,202.64,-110.735,90.0,bottom
D18,221.84,-110.935,90.0,bottom
D19,110.54,-128.0250002115813,60.0,bottom
D2,145.24,-67.935,90.0,bottom
D20,133.6261004381594,-126.80517760183865,75.0,bottom
D21,155.24,-125.695,90.0,bottom
D3,164.44,-68.135,90.0,bottom
D4,183.44,-69.825,90.0,bottom
D5,202.64,-72.835,90.0,bottom
D6,221.64,-73.025,90.0,bottom
D7,126.34,-89.5,90.0,bottom
D8,145.44,-88.725,90.0,bottom
D9,164.54,-88.325,90.0,bottom
J1,95.0,-102.45,0.0,top
SW1,155.0,-64.285,0.0,top
SW10,116.9,-87.145,0.0,top
SW11,193.1,-89.05,0.0,top
SW12,212.15,-89.05,0.0,top
SW13,155.0,-102.385,0.0,top
SW14,135.95,-104.29,0.0,top
SW15,174.05,-104.29,0.0,top
SW16,116.9,-106.195,0.0,top
SW17,193.1,-108.1,0.0,top
SW18,212.15,-108.1,0.0,top
SW19,145.475,-123.34,0.0,top
SW2,135.95,-66.19,0.0,top
SW20,100.15976000080668,-133.437943,120.0,top
SW21,123.72396176735305,-126.20357858608418,15.0,top
SW22,86.0,-101.0,270.0,top
SW3,174.05,-66.19,0.0,top
SW4,116.9,-68.095,0.0,top
SW5,193.1,-70.0,0.0,top
SW6,212.15,-70.0,0.0,top
SW7,155.0,-83.335,0.0,top
SW8,135.95,-85.24,0.0,top
SW9,174.05,-85.24,0.0,top
U1,93.0,-69.28,0.0,top
