Designator,Mid X,Mid Y,Rotation,Layer
D1,47.3456,-44.196,90.0,bottom
D10,104.7496,-60.8584,90.0,bottom
D11,123.8504,-62.484,90.0,bottom
D12,142.4432,-62.738,90.0,bottom
D13,47.498,-81.534,90.0,bottom
D14,66.5988,-81.8896,90.0,bottom
D15,85.6996,-80.6196,90.0,bottom
D16,105.1052,-80.8736,90.0,bottom
D17,123.698,-78.6892,90.0,bottom
D18,141.7828,-79.0448,90.0,bottom
D19,109.855,-97.345,90.0,bottom
D2,66.548,-44.6532,90.0,bottom
D20,130.8234225618406,-101.44313460183865,105.0,bottom
D21,150.9897442115813,-99.683191,30.0,bottom
D3,85.2932,-43.8404,90.0,bottom
D4,104.7496,-42.5196,90.0,bottom
D5,123.8504,-44.3484,90.0,bottom
D6,142.494,-42.926,90.0,bottom
D7,47.3456,-64.008,90.0,bottom
D8,66.04,-64.0588,90.0,bottom
D9,85.6996,-61.6712,90.0,bottom
SW1,95.25,-35.935,0.0,top
SW10,133.35,-58.795,0.0,top
SW11,38.1,-60.7,0.0,top
SW12,57.15,-60.7,0.0,top
SW13,95.25,-74.035,0.0,top
SW14,76.2,-75.94,0.0,top
SW15,114.3,-75.94,0.0,top
SW16,133.35,-77.845,0.0,top
SW17,38.1,-79.75,0.0,top
SW18,57.15,-79.75,0.0,top
SW19,104.775,-94.99,0.0,top
SW2,76.2,-37.84,0.0,top
SW20,126.52603823264695,-97.85357858608417,345.0,top
SW21,146.4102550008067,-102.9051,60.0,top
SW3,114.3,-37.84,0.0,top
SW4,133.35,-39.745,0.0,top
SW5,38.1,-41.65,0.0,top
SW6,57.15,-41.65,0.0,top
SW7,95.25,-54.985,0.0,top
SW8,76.2,-56.89,0.0,top
SW9,114.3,-56.89,0.0,top
U1,155.98,-41.97,0.0,top
